Country,Happiness_Rank,Year,Happiness_Score,Type,Value
Finland,1,2019,7.769,GDP per capita,1.34
Denmark,2,2019,7.6,GDP per capita,1.383
Norway,3,2019,7.554,GDP per capita,1.488
Iceland,4,2019,7.494,GDP per capita,1.38
Netherlands,5,2019,7.488,GDP per capita,1.396
Switzerland,6,2019,7.48,GDP per capita,1.452
Sweden,7,2019,7.343,GDP per capita,1.387
New Zealand,8,2019,7.307,GDP per capita,1.303
Canada,9,2019,7.278,GDP per capita,1.365
Austria,10,2019,7.246,GDP per capita,1.376
Australia,11,2019,7.228,GDP per capita,1.372
Costa Rica,12,2019,7.167,GDP per capita,1.034
Israel,13,2019,7.139,GDP per capita,1.276
Luxembourg,14,2019,7.09,GDP per capita,1.609
United Kingdom,15,2019,7.054,GDP per capita,1.333
Ireland,16,2019,7.021,GDP per capita,1.499
Germany,17,2019,6.985,GDP per capita,1.373
Belgium,18,2019,6.923,GDP per capita,1.356
United States,19,2019,6.892,GDP per capita,1.433
Czech Republic,20,2019,6.852,GDP per capita,1.269
United Arab Emirates,21,2019,6.825,GDP per capita,1.503
Malta,22,2019,6.726,GDP per capita,1.3
Mexico,23,2019,6.595,GDP per capita,1.07
France,24,2019,6.592,GDP per capita,1.324
Taiwan,25,2019,6.446,GDP per capita,1.368
Chile,26,2019,6.444,GDP per capita,1.159
Guatemala,27,2019,6.436,GDP per capita,0.8
Saudi Arabia,28,2019,6.375,GDP per capita,1.403
Qatar,29,2019,6.374,GDP per capita,1.684
Spain,30,2019,6.354,GDP per capita,1.286
Panama,31,2019,6.321,GDP per capita,1.149
Brazil,32,2019,6.3,GDP per capita,1.004
Uruguay,33,2019,6.293,GDP per capita,1.124
Singapore,34,2019,6.262,GDP per capita,1.572
El Salvador,35,2019,6.253,GDP per capita,0.794
Italy,36,2019,6.223,GDP per capita,1.294
Bahrain,37,2019,6.199,GDP per capita,1.362
Slovakia,38,2019,6.198,GDP per capita,1.246
Trinidad & Tobago,39,2019,6.192,GDP per capita,1.231
Poland,40,2019,6.182,GDP per capita,1.206
Uzbekistan,41,2019,6.174,GDP per capita,0.745
Lithuania,42,2019,6.149,GDP per capita,1.238
Colombia,43,2019,6.125,GDP per capita,0.985
Slovenia,44,2019,6.118,GDP per capita,1.258
Nicaragua,45,2019,6.105,GDP per capita,0.694
Kosovo,46,2019,6.1,GDP per capita,0.882
Argentina,47,2019,6.086,GDP per capita,1.092
Romania,48,2019,6.07,GDP per capita,1.162
Cyprus,49,2019,6.046,GDP per capita,1.263
Ecuador,50,2019,6.028,GDP per capita,0.912
Kuwait,51,2019,6.021,GDP per capita,1.5
Thailand,52,2019,6.008,GDP per capita,1.05
Latvia,53,2019,5.94,GDP per capita,1.187
South Korea,54,2019,5.895,GDP per capita,1.301
Estonia,55,2019,5.893,GDP per capita,1.237
Jamaica,56,2019,5.89,GDP per capita,0.831
Mauritius,57,2019,5.888,GDP per capita,1.12
Japan,58,2019,5.886,GDP per capita,1.327
Honduras,59,2019,5.86,GDP per capita,0.642
Kazakhstan,60,2019,5.809,GDP per capita,1.173
Bolivia,61,2019,5.779,GDP per capita,0.776
Hungary,62,2019,5.758,GDP per capita,1.201
Paraguay,63,2019,5.743,GDP per capita,0.855
Northern Cyprus,64,2019,5.718,GDP per capita,1.263
Peru,65,2019,5.697,GDP per capita,0.96
Portugal,66,2019,5.693,GDP per capita,1.221
Pakistan,67,2019,5.653,GDP per capita,0.677
Russia,68,2019,5.648,GDP per capita,1.183
Philippines,69,2019,5.631,GDP per capita,0.807
Serbia,70,2019,5.603,GDP per capita,1.004
Moldova,71,2019,5.529,GDP per capita,0.685
Libya,72,2019,5.525,GDP per capita,1.044
Montenegro,73,2019,5.523,GDP per capita,1.051
Tajikistan,74,2019,5.467,GDP per capita,0.493
Croatia,75,2019,5.432,GDP per capita,1.155
Hong Kong,76,2019,5.43,GDP per capita,1.438
Dominican Republic,77,2019,5.425,GDP per capita,1.015
Bosnia and Herzegovina,78,2019,5.386,GDP per capita,0.945
Turkey,79,2019,5.373,GDP per capita,1.183
Malaysia,80,2019,5.339,GDP per capita,1.221
Belarus,81,2019,5.323,GDP per capita,1.067
Greece,82,2019,5.287,GDP per capita,1.181
Mongolia,83,2019,5.285,GDP per capita,0.948
North Macedonia,84,2019,5.274,GDP per capita,0.983
Nigeria,85,2019,5.265,GDP per capita,0.696
Kyrgyzstan,86,2019,5.261,GDP per capita,0.551
Turkmenistan,87,2019,5.247,GDP per capita,1.052
Algeria,88,2019,5.211,GDP per capita,1.002
Morocco,89,2019,5.208,GDP per capita,0.801
Azerbaijan,90,2019,5.208,GDP per capita,1.043
Lebanon,91,2019,5.197,GDP per capita,0.987
Indonesia,92,2019,5.192,GDP per capita,0.931
China,93,2019,5.191,GDP per capita,1.029
Vietnam,94,2019,5.175,GDP per capita,0.741
Bhutan,95,2019,5.082,GDP per capita,0.813
Cameroon,96,2019,5.044,GDP per capita,0.549
Bulgaria,97,2019,5.011,GDP per capita,1.092
Ghana,98,2019,4.996,GDP per capita,0.611
Ivory Coast,99,2019,4.944,GDP per capita,0.569
Nepal,100,2019,4.913,GDP per capita,0.446
Jordan,101,2019,4.906,GDP per capita,0.837
Benin,102,2019,4.883,GDP per capita,0.393
